slug,item_id,url,tier,field,location,claim_type,lane,matched_text,context,old_text,new_text,confidence,reasoning,source_url,evidence_quote,status,validation_error
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,name,title,year,IGNORE,2026,"CAT Exam Date 2026: Registration, Complete Schedule and Important Deadlines",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,p,year,IGNORE,2026,"CAT 2026 is expected to be held on the last Sunday of November 2026, i.e. around",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,p,year,IGNORE,2026,"CAT 2026 is expected to be held on the last Sunday of November 2026, i.e. around",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,p,year,IGNORE,2026,". IIM Indore is expected to be the convening institute, as the IIMs rotate the responsibility each year. CAT 2026 registration is expected to open in the first week of August 2026 and close around the third week of September 2026. The exam consists of 6",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,p,year,IGNORE,2026,"convening institute, as the IIMs rotate the responsibility each year. CAT 2026 registration is expected to open in the first week of August 2026 and close around the third week of September 2026. The exam consists of 68 questions across three sections, with a total score of 204 marks",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,p,year,IGNORE,2026,"sibility each year. CAT 2026 registration is expected to open in the first week of August 2026 and close around the third week of September 2026. The exam consists of 68 questions across three sections, with a total score of 204 marks.",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,li,year,IGNORE,2026,"Gain clarity on the exam pattern, syllabus, and eligibility requirements to ensure you meet the criteria for CAT 2026.",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,h2,year,IGNORE,2026,Important CAT Exam Date 2026 (Expected),,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,p,year,IGNORE,2026,"Below are the key CAT 2026 dates (expected, based on previous cycles) that every candidate must know before appearing for the exam:",,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,td,year,IGNORE,2026,Last week of July 2026,,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,td,year,IGNORE,2026,First week of August 2026,,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,td,year,IGNORE,2026,Third week of September 2026,,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,td,year,IGNORE,2026,Late September 2026,,,,year is current or future,,,ignored,
cat-exam-date-2025,67625ec5c3f4ef146667a6b4,/site/blog/cat-exam-date-2025,T1P,post-body,td,year,IGNORE,2026,First week of November 2026,,,,year is current or future,,,ignored,
