source_url,status,source_slug,field,paragraph_idx,target_url,action,insertion_type,anchor,original_sentence,new_sentence,reasoning,validation_error
/site/blog/100-marks-in-jee-mains-percentile,planned,100-marks-in-jee-mains-percentile,post-body,14.0,/site/blog/80-marks-in-jee-mains,insert,bridge,80 marks in JEE Mains,Scoring 100 marks in JEE Mains is considered good for reserved categories.,Scoring 100 marks in JEE Mains is considered good for reserved categories (similar context applies for [80 marks in JEE Mains](/site/blog/80-marks-in-jee-mains)).,"P14 discusses what scoring a specific mark means for categories, making 80 marks a natural comparable reference.",
/site/blog/100-marks-in-jee-mains-percentile,llm-skipped,100-marks-in-jee-mains-percentile,,,/site/blog/60-marks-in-jee-mains-percentile,skip,bridge,,,,"No paragraph discusses 60 marks specifically, and no existing sentence contains a wrappable phrase that matches the target concept without forced insertion.",
/site/blog/100-marks-in-jee-mains-percentile,planned,100-marks-in-jee-mains-percentile,post-body,23.0,/site/blog/80-percentile-in-jee-mains,insert,bridge,percentile vs rank in JEE Mains,"The percentile vs rank in JEE Mains 2026 depends on factors such as the number of candidates, exam difficulty, and past trends.","The [percentile vs rank in JEE Mains](/site/blog/80-percentile-in-jee-mains) 2026 depends on factors such as the number of candidates, exam difficulty, and past trends.","P23 is directly about percentile vs rank, and the phrase exists verbatim in the sentence for a clean wrap.",
/site/blog/100-marks-in-jee-mains-percentile,planned,100-marks-in-jee-mains-percentile,post-body,38.0,/site/blog/college-predictor-jee-mains,insert,bridge,JEE Mains college predictor,"Now that you have figured out the 100 marks in JEE Mains percentile and the expected percentile for your scores, it is time to start planning for higher education.","Now that you have figured out the 100 marks in JEE Mains percentile and the expected percentile for your scores, it is time to start planning for higher education (use a [JEE Mains college predictor](/site/blog/college-predictor-jee-mains) to shortlist institutes).","P38 is about next steps after knowing your percentile, making a college predictor a directly relevant and natural addition.",
/site/blog/100-marks-in-jee-mains-percentile,planned,100-marks-in-jee-mains-percentile,post-body,22.0,/site/blog/jee-mains-marks-vs-percentile,insert,bridge,marks vs percentile,The JEE Mains 2026 marks vs percentile table helps candidates estimate their approximate percentile range for a given score.,The JEE Mains 2026 [marks vs percentile](/site/blog/jee-mains-marks-vs-percentile) table helps candidates estimate their approximate percentile range for a given score.,"Wraps the existing phrase 'marks vs percentile' as the anchor with zero added characters, keeping the sentence identical otherwise.",
/site/blog/100-marks-in-jee-mains-percentile,planned,100-marks-in-jee-mains-percentile,post-body,6.0,/site/blog/60-marks-in-jee-mains-percentile,insert,bridge,percentile for 60 marks,"Based on past trends, the expected marks for achieving 90 percentile in JEE Mains January 2026 have been analysed.","Based on past trends, the expected marks for achieving 90 percentile in JEE Mains January 2026 have been analysed (a [percentile for 60 marks](/site/blog/60-marks-in-jee-mains-percentile) analysis is also available).","Adds a parenthetical at a punctuation boundary without any forbidden connector phrase, keeping all original words in order.",
/site/blog/60-marks-in-jee-mains-percentile,llm-skipped,60-marks-in-jee-mains-percentile,,,/site/blog/100-marks-in-jee-mains-percentile,skip,bridge,,,,No paragraph discusses 100 marks specifically; forcing it would be category-adjacent only.,
/site/blog/60-marks-in-jee-mains-percentile,planned,60-marks-in-jee-mains-percentile,post-body,4.0,/site/blog/jee-mains-marks-vs-percentile,insert,bridge,JEE Mains marks vs percentile,"The table below is indicative, based on previous-year (2024/2025) trends.","The table below is indicative, based on previous-year (2024/2025) trends (see [JEE Mains marks vs percentile](/site/blog/jee-mains-marks-vs-percentile) for full data).","P4 presents a marks-vs-percentile table, making this the most natural home for a link to the detailed marks vs percentile analysis page.",
/site/blog/60-marks-in-jee-mains-percentile,llm-skipped,60-marks-in-jee-mains-percentile,,,/site/blog/80-percentile-in-jee-mains,skip,bridge,,,,P7 already has one insertion; no other paragraph discusses 80 percentile specifically without overlapping with already-used paragraphs.,
/site/blog/60-marks-in-jee-mains-percentile,planned,60-marks-in-jee-mains-percentile,post-body,7.0,/site/blog/80-marks-in-jee-mains,insert,bridge,80 marks in JEE Mains,Admission to most reputed colleges typically requires a score of 170 or more for BTech programs.,"Admission to most reputed colleges typically requires a score of 170 or more for BTech programs, making [80 marks in JEE Mains](/site/blog/80-marks-in-jee-mains) insufficient too.","Added a short parenthetical-style clause at a comma boundary, under 60 visible chars, wrapping a phrase naturally relevant to the score-sufficiency discussion.",
