source_url,source_tier,source_category,target_url,target_tier,target_category,anchor_text,suggested_position,rationale
/site/blog/laptop-quotation-for-education-loan,T1P,Finance & Credit Education,/site/blog/education-loan-refinance,T1P,Finance & Credit Education,lower your loan interest via refinance,intro,category-pillar
/site/blog/laptop-quotation-for-education-loan,T1P,Finance & Credit Education,/site/education-loan,T0,Money Page,education loan in India,conclusion,t0-money-page
/site/blog/aakash-institute-fee-structure,T1P,Courses & Careers,/site/blog/pharm-d-course,T1P,Courses & Careers,the Pharm D course,intro,category-pillar
/site/blog/aakash-institute-fee-structure,T1P,Courses & Careers,/site/blog/vidya-lakshmi-portal-college-list,T1P,Courses & Careers,which colleges accept Vidya Lakshmi loans,mid,category-pillar
/site/blog/allen-kota-fees,T1P,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,TNEA college and branch cutoffs,intro,category-pillar
/site/blog/allen-kota-fees,T1P,Exams & Counselling,/site/blog/comedk-uget-college-predictor,T1P,Exams & Counselling,COMEDK UGET college predictor,mid,category-pillar
/site/blog/tnea-cutoff,T1P,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,Allen Kota fees,intro,category-pillar
/site/blog/tnea-cutoff,T1P,Exams & Counselling,/site/blog/comedk-uget-college-predictor,T1P,Exams & Counselling,predict COMEDK colleges,mid,category-pillar
/site/blog/education-loan-refinance,T1P,Finance & Credit Education,/site/blog/laptop-quotation-for-education-loan,T1P,Finance & Credit Education,how to submit a laptop quote,intro,category-pillar
/site/blog/education-loan-refinance,T1P,Finance & Credit Education,/site/education-loan,T0,Money Page,compare education loans,conclusion,t0-money-page
/site/blog/comedk-uget-college-predictor,T1P,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,Allen Kota JEE + NEET coaching fees,intro,category-pillar
/site/blog/comedk-uget-college-predictor,T1P,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,check TNEA cutoff,mid,category-pillar
/site/blog/bds-cutoff-for-neet,T1P,Exams & Counselling,/site/blog/allen-kota-fees,T1P,Exams & Counselling,current Allen Kota fees,intro,category-pillar
/site/blog/bds-cutoff-for-neet,T1P,Exams & Counselling,/site/blog/tnea-cutoff,T1P,Exams & Counselling,TNEA cutoff details,mid,category-pillar
/site/blog/student-loan-on-aadhaar-card,T1P,Finance & Credit Education,/site/blog/laptop-quotation-for-education-loan,T1P,Finance & Credit Education,getting your laptop financed via loan,intro,category-pillar
