source_url,source_body_field,target_url,anchor_text,position_in_field,action,reason
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/jee-main-exam,JEE Mains Exam Pattern,0,KEEP,compliant
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/comprehensive-guide-to-jee-information-and-preparation-strategies,comprehensive guide to JEE Mains,1,KEEP,compliant
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,"Unlock Fast, Collateral-Free Education Loans with Propelld Today!",2,KEEP,compliant
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/jee-mains-chapter-wise-weightage,JEE Mains chapter-wise weightage,3,KEEP,compliant
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Approval Based on Your 12th Marks. No Co Applicant Required. Check Your Eligibility with Propelld Education Loan,4,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,"Not Just Tuition Fees, But Other Expenses Also Covered. Check Simplified Education Loans from Propelld.",5,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Get your Loan Disbursed 10 times Faster than Banks. Click to Know How!,6,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/college/best-engineering-colleges-in-karnataka,best engineering colleges in Karnataka,7,KEEP,compliant
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Check your eligibility and grab low interest offer on education loan,8,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Fastest process for Education Loan with No Collateral Requirement,9,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Propelld,10,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Propelld,11,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/jee-mains-chapter-wise-weightage,JEE Mains Chapter Wise Weightage,12,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/comprehensive-guide-to-jee-information-and-preparation-strategies,Comprehensive Guide to JEE: Information and Preparation Strategies,13,KILL,duplicate-target
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/different-engineering-branches-to-choose-from-after-jee,Different Engineering Branches to Choose From After JEE,14,KEEP,compliant
/site/blog/100-marks-in-jee-mains-percentile,post-body,/site/blog/alternate-options-after-the-jee-mains-exam,Alternative Options after JEE Mains,15,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,"Unlock Fast, Collateral-Free Education Loans with Propelld Today!",0,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/top-colleges-accepting-less-than-70-percentile-jee-main-2024,top colleges accepting less than 70 percentile in JEE Mains,1,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/jee-main-exam,"JEE Mains 2026 Exam Pattern, syllabus and expert preparation tips",2,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Approval Based on Your 12th Marks. No Co Applicant Required. Check Your Eligibility with Propelld Education Loan,3,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/jee-mains-chapter-wise-weightage,JEE Mains Chapter-wise Weightage 2026.,4,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Invest in Your Future Without the Need for a Co-Applicant! Explore our Education Loans Now.,5,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/different-engineering-branches-to-choose-from-after-jee,different engineering branches to choose from after JEE,6,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Check your eligibility and grab low interest offer on education loan,7,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Fastest process for Education Loan with No Collateral Requirement,8,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Propelld,9,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/lp/study-loan-eligibility,Propelld,10,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/jee-mains-chapter-wise-weightage,JEE Mains Chapter Wise Weightage,11,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/comprehensive-guide-to-jee-information-and-preparation-strategies,Comprehensive Guide to JEE: Information and Preparation Strategies,12,KEEP,compliant
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/different-engineering-branches-to-choose-from-after-jee,Different Engineering Branches to Choose From After JEE,13,KILL,duplicate-target
/site/blog/60-marks-in-jee-mains-percentile,post-body,/site/blog/alternate-options-after-the-jee-mains-exam,Alternative Options after JEE Mains,14,KEEP,compliant
/site/blog/7-smart-ways-to-save-for-higher-education,post-body,/site/lp/study-loan-eligibility,Propelld,1,KEEP,compliant
/site/blog/80-marks-in-jee-mains,post-body,/site/jee-advanced-college-predictor,JEE Advanced College Predictor,0,KEEP,compliant
/site/blog/80-marks-in-jee-mains,post-body,/site/lp/study-loan-eligibility,Get Education Loan for Any College in India. 100% Fees Financed- Propelld Education Loan,1,KEEP,compliant
